"Uf","IBGE","Municipio","CNES","Estabelecimento","INE""Populaçao"
"MS","500370","DOURADOS","6822924","UNIDADE BASICA DE SAUDE ENF JACI SILVA MARTINS","0000442216","3845"
"MS","500110","AQUIDAUANA","7065817","ESTRATEGIA DE SAUDE DA FAMILIA IZAURA BAES","0000438324","2558"
"MS","500124","ARAL MOREIRA","2591383","UNIDADE BASICA DE SAUDE CIRILLO ROSSATI","0000438340","3913"
"MS","500210","BELA VISTA","2710692","UNIDADE DE SAUDE DA FAMILIA FIORI MURANO","0000438618","1043"
"MS","500220","BONITO","5677467","ESF VILA AMERICA","0000438685","3725"
"MS","500260","CAMAPUÃ","2536617","UNIDADE DE SAUDE DA FAMILIA IV CRISTO REDENTOR","0000438863","2272"
"MS","500270","CAMPO GRANDE","0010286","SESAU USF UBS DR OLIMPIO CAVALHEIRO COHAB","0000439339","2044"
"MS","500270","CAMPO GRANDE","9022007","SESAU USF ANA MARIA DO COUTO","0001644742","1272"
"MS","500270","CAMPO GRANDE","0010235","SESAU USF DR MILTON KOJO CHINEN VILA NASSER","0000439223","1916"
"MS","500270","CAMPO GRANDE","3005690","SESAU USF JARDIM NOROESTE","0000440043","2831"
"MS","500270","CAMPO GRANDE","3005690","SESAU USF JARDIM NOROESTE","0001572601","2356"
"MS","500270","CAMPO GRANDE","5672341","SESAU USF DR JOAO MIGUEL BASMAGE ESTRELA DALVA","0000440485","2758"
"MS","500270","CAMPO GRANDE","0010200","SESAU USF DR HIROSE ADANIA BONANCA","0000439177","1044"
"MS","500270","CAMPO GRANDE","0010332","SESAU USF SAO FRANCISCO","0000439452","1398"
"MS","500270","CAMPO GRANDE","0028789","SESAU USF DR JUDSON TADEU RIBAS MORENINHA III","0001482459","2109"
"MS","500270","CAMPO GRANDE","3198278","SESAU USF PAULO COELHO MACHADO","0000440213","2471"
"MS","500270","CAMPO GRANDE","0021792","SESAU USF DR BENTO DE ASSIS MACHADO ANHANDUI","0000439606","1783"
"MS","500270","CAMPO GRANDE","3598209","SESAU USF HERBERTO CALADO REBELO AERO ITALIA","0000440396","2264"
"MS","500270","CAMPO GRANDE","9443525","SESAU USF BENEDITO MARTINS GONCALVES OLIVEIRA II","0001474561","1684"
"MS","500270","CAMPO GRANDE","3311260","SESAU USF PASTOR ELISEU FEITOSA DE ALENCAR SAO CONRADO","0000440299","1965"
"MS","500525","LAGUNA CARAPÃ","7477317","UNIDADE DE SAUDE DA FAMILIA URBANA II","0001522213","2473"
"MS","500540","MARACAJU","7506481","UBS ESF DR ORESTES ROCHA","0001530704","2051"
"MS","500540","MARACAJU","2470624","UBS ESF DR CLEMENTINO BARROS WANDERLEI","0001468448","4119"
"MS","500540","MARACAJU","2646897","UBS NESTOR FERREIRA MUZZI ESF DA FAMILIA MARACAJU","0000443093","2536"
"MS","500570","NAVIRAÍ","8005567","ESF PARAISO I","0000443387","2691"
"MS","500570","NAVIRAÍ","5966523","ESF MARIA DE LOURDES DOS SANTOS","0000443336","3815"
"MS","500630","PARANAÍBA","2536412","UNIDADE SAUDE DA FAMILIA DANIEL MARTINS FERREIRA","0000443719","3220"
"MS","500635","PARANHOS","2710587","PROGRAMA DE SAUDE DA FAMILIA URBANO VILA NOVA","0000443824","3099"
"MS","500635","PARANHOS","3005429","PROGRAMA DE SAUDE DA FAMILIA URBANA CENTRO","0000443859","3518"
"MS","500660","PONTA PORÃ","7281986","UNIDADE BASICA DE SAUDE DA FAMILIA JARDIM ESTORIL","0001512390","2617"
"MS","500660","PONTA PORÃ","2651521","UNIDADE BASICA DE SAUDE DA FAMILIA IPE II","0000443921","4414"
"MS","500690","PORTO MURTINHO","3926974","ESF II LUIZ AUGUSTO MIRANDA CODORNIZ","0000444111","4030"
"MS","500720","RIO BRILHANTE","3085287","ESTRATEGIA SAUDE DA FAMILIA FAUZER SALIBA","0000444243","3845"
"MS","500740","RIO VERDE DE MATO GROSSO","2375907","UNIDADE SAUDE FAMILIA DE VILA NOVA","0000444340","1628"
"MS","500740","RIO VERDE DE MATO GROSSO","2376997","UNIDADE SAUDE FAMILIA PSF RURAL","0000444367","1539"
"MS","500755","SANTA RITA DO PARDO","7456018","ESTRATEGIA DE SAUDE DA FAMILIA NAIR FERNANDES ALVES","0001535226","2378"
"MS","500769","SÃO GABRIEL DO OESTE","3400964","UNIDADE DE SAUDE DA FAMILIA RURAL VII","0000444537","3011"
"MS","500770","SETE QUEDAS","5040434","PSF VILA DAS MARIAS","0000444618","1560"
"MS","500790","SIDROLÂNDIA","6326803","EQUIPE DE ESF MOVEL","0001576976","728"
"MS","500790","SIDROLÂNDIA","6568521","ESTRATEGIA DE SAUDE DA FAMILIA MOVEL II","0000444847","1051"
"MS","500795","TACURU","5683386","UNIDADE BASICA DE SAUDE DA FAMILIA AURELIANO DURE","0001556274","2161"
"MS","500370","DOURADOS","3489159","UNIDADE BASICA DE SAUDE BEM TE VI","0001623052","1246"
"MS","500270","CAMPO GRANDE","9983449","SESAU USF DR CARLOS A JURGIELEWCZ CRISTO REDENTOR","0001697544","1431"
"MS","500270","CAMPO GRANDE","6731198","SESAU USF DR FERNANDO DE ARRUDA TORRES JOSE TAVARES","0001644408","1175"
"MS","500270","CAMPO GRANDE","9443525","SESAU USF BENEDITO MARTINS GONCALVES OLIVEIRA II","0001707892","448"
"MS","500270","CAMPO GRANDE","0010154","SESAU UBS DR ASTROGILDO CARMONA CARLOTA","0000439037","1649"
"MS","500370","DOURADOS","9837663","UBS DR LUIZ CARLOS SIEBERT","0001686232","451"
"MS","500370","DOURADOS","2710870","UNIDADE BASICA DE SAUDE MARLUCIA ARAUJO LUPINETTI","0000441740","2763"
"MS","500270","CAMPO GRANDE","0010138","SESAU UBS DRA ELEONORA M QUEVEDO SILVIA REGINA","0000438987","1561"
"MS","500270","CAMPO GRANDE","0024465","SESAU UBS ENG ARTHUR HOKAMA DONA NETA GUANANDI","0000439800","1940"
"MS","500270","CAMPO GRANDE","0010340","SESAU USF DR WALFRIDO AZAMBUJA ALVES PEREIRA","0000439479","1094"
"MS","500270","CAMPO GRANDE","0010162","SESAU UBS DR IVAN HIDELBRAND DA COSTA BURITI","0000439045","1606"
"MS","500270","CAMPO GRANDE","0010162","SESAU UBS DR IVAN HIDELBRAND DA COSTA BURITI","0001482386","790"
"MS","500270","CAMPO GRANDE","0010154","SESAU UBS DR ASTROGILDO CARMONA CARLOTA","0000439010","1912"
"MS","500270","CAMPO GRANDE","0010189","SESAU UBS DR NICOLAU FRAGELLI LAR DO TRABALHADOR","0000439118","1793"
"MS","500270","CAMPO GRANDE","0024457","SESAU USF DR ANTONIO PEREIRA TIRADENTES","0000439797","1547"
"MS","500270","CAMPO GRANDE","0010308","SESAU UBS DR JORGE DAVID NASSER JOCKEY CLUB","0000439398","1842"
"MS","500270","CAMPO GRANDE","0010308","SESAU UBS DR JORGE DAVID NASSER JOCKEY CLUB","0000439363","2102"
"MS","500370","DOURADOS","5398800","UNIDADE BASICA DE SAUDE DR DIVINO ANTONIO LUIZ JD CARISMA","0000442100","3147"
"MS","500370","DOURADOS","3489159","UNIDADE BASICA DE SAUDE BEM TE VI","0000442070","2408"
"MS","500370","DOURADOS","3768074","UNIDADE BASICA DE SAUDE AUX ENF ELIS RENY DOS SANTOS","0000442089","3116"
"MS","500370","DOURADOS","2710811","UNIDADE BASICA DE SAUDE INDAPOLIS","0000441678","1944"
"MS","500370","DOURADOS","6803628","UNIDADE BASICA DE SAUDE CHACARA DOS CAIUAS","0000442208","3815"
"MS","500380","FÁTIMA DO SUL","7290810","ESTRATEGIA SAUDE DA FAMILIA JARDIM SAO PAULO","0001479067","3182"
"MS","500380","FÁTIMA DO SUL","2558467","ESTRATEGIA SAUDE DA FAMILIA JARDIM BRASILANDIA","0000472271","1709"
"MS","500380","FÁTIMA DO SUL","2558505","ESTRATEGIA SAUDE DA FAMILIA DE CULTURAMA","0000442275","3187"
"MS","500390","FIGUEIRÃO","3670430","UNIDADE BASICA DE SAUDE ARINDO RODRIGUES DA SILVA","0000442313","2548"
"MS","500450","ITAPORÃ","7261179","UNIDADE DE SAUDE DA FAMILIA JARDIM SAO BENTO","0001474553","2934"
"MS","500460","ITAQUIRAÍ","2558645","UNIDADE DE SAUDE DA FAMILIA DE ITAQUIRAI","0000442593","2683"
"MS","500470","IVINHEMA","2676567","ESF GUIRAY","0000442712","4110"
"MS","500500","JARDIM","5597951","PROGRAMA SAUDE DA FAMILIA DR ANTONIO LUIZ COIMBRA GRUBERT","0000442879","3781"
"MS","500270","CAMPO GRANDE","0024481","SESAU USF NOVA BAHIA","0000439878","1668"
"MS","500270","CAMPO GRANDE","0024481","SESAU USF NOVA BAHIA","0001644521","2323"
"MS","500270","CAMPO GRANDE","7568835","SESAU USF MARIA IVONE DE O NASCIMENTO ARAKAKI VILA FERNANDA","0001550799","2266"
"MS","500270","CAMPO GRANDE","7096895","SESAU USF DR HELIO MARTINS COELHO BATISTAO","0000440655","2220"
"MS","500270","CAMPO GRANDE","3080021","SESAU USF DR EMILIO GARBELOTI NETO TARUMA","0000440205","1398"
"MS","500270","CAMPO GRANDE","3080021","SESAU USF DR EMILIO GARBELOTI NETO TARUMA","0001482335","2636"
"MS","500270","CAMPO GRANDE","0010316","SESAU USF DR VICENTE FRAGELLI CIDADE MORENA","0000439401","2240"
"MS","500290","CASSILÂNDIA","2375753","UNIDADE BASICA DE SAUDE JOAO ALBINO CARDOSO","0000440884","1844"
"MS","500310","CORGUINHO","6504280","ESF RURAL DE CORGUINHO","0000441015","1648"
"MS","500315","CORONEL SAPUCAIA","2603462","UNIDADE BASICA DE SAUDE MOISES VITORIO BORTOLAZO","0000441031","3137"
"MS","500320","CORUMBÁ","2591553","UNIDADE BASICA DE SAUDE RURAL MATO GRANDE","0001547518","748"
"MS","500320","CORUMBÁ","2376148","UNIDADE BASICA DE SAUDE FERNANDO MOUTINHO","0000441104","3768"
"MS","500345","DEODÁPOLIS","8005575","ESTRATEGIA DE SAUDE DA FAMILIA CENTRO","0000441562","2419"
"MS","500370","DOURADOS","5592607","UNIDADE BASICA DE SAUDE LEVY SCHAUZ CABECEIRA ALEGRE","0001524291","2830"
"MS","500020","ÁGUA CLARA","3989372","UBSF MARIA DO CARMO DA SILVA MARIA","0000437654","2570"
"MS","500060","AMAMBAI","6967752","POSTO DE SAUDE VILAS JARDIM PANORAMA E ORLANDO VIOL","0000437816","2212"
"MS","500060","AMAMBAI","6003370","POSTO DE SAUDE VILA SAO LUIZ ESF","0000437743","2937"
"MS","500060","AMAMBAI","2559455","UNIDADE DE SAUDE DA FAMILIA VILA VILARINHO","0000437700","3143"
"MS","500070","ANASTÁCIO","6625452","ESF BENTA VIEIRA DE ARRUDA","0000437891","1877"
"MS","500090","ANTÔNIO JOÃO","2710617","ESF BRUM DE OLIVEIRA","0000438022","3037"
"MS","500100","APARECIDA DO TABOADO","3684539","ESF JARDIM DO LAGO","0000438103","2899"
"MS","500100","APARECIDA DO TABOADO","2676699","ESF VILA SAO JERONIMO","0000438073","3392"
"MS","500110","AQUIDAUANA","5601010","UNIDADE DE SAUDE DA FAMILIA BAIRRO ALTO","0000438251","3310"
"MS","500110","AQUIDAUANA","6310834","ESTRATEGIA DE SAUDE DA FAMILIA CIPOLANDIA","0000438294","1451"
"MS","500150","BANDEIRANTES","2536447","UNIDADE DE SAUDE DA FAMILIA II","0000438375","1526"
"MS","500190","BATAGUASSU","5498147","UNIDADE DE SAUDE PSF RURAL","0000438413","617"
"MS","500200","BATAYPORÃ","5435196","ESTRATEGIA DE SAUDE DA FAMILIA ANORINDA MARCELINA","0000438529","3347"
"MS","500220","BONITO","2710757","UNIDADE SAUDE DA FAMILIA VILA DONARIA","0000438677","4255"
"MS","500220","BONITO","2376369","UNIDADE DE SAUDE DE FAMILIA RINCAO BONITO","0000438669","3069"
"MS","500240","CAARAPÓ","2376210","ESTRATEGIA DE SAUDE DA FAMILIA DE CAARAPO","0000438790","3513"
"MS","500240","CAARAPÓ","3488381","ESTRATEGIA DE SAUDE DA FAMILIA VALDEMAR FERREIRA MUZZI","0000438812","4540"
"MS","500270","CAMPO GRANDE","0010286","SESAU USF UBS DR OLIMPIO CAVALHEIRO COHAB","0000439320","2331"
"MS","500270","CAMPO GRANDE","0010294","SESAU USF DR ELIAS NASSER NETO JOSE ABRAO","0000439347","2798"
"MS","500270","CAMPO GRANDE","3051358","SESAU USF DR WAGNER JOSE BORTOTTO GARCIA MARIO COVAS","0000440116","2386"
"MS","500270","CAMPO GRANDE","3051358","SESAU USF DR WAGNER JOSE BORTOTTO GARCIA MARIO COVAS","0000440094","1907"
"MS","500270","CAMPO GRANDE","0010421","SESAU USF DRA MARLY ANNA TATTON BERG G PEREIRA MARABA","0000439568","1651"
"MS","500270","CAMPO GRANDE","5672341","SESAU USF DR JOAO MIGUEL BASMAGE ESTRELA DALVA","0000440493","2301"
"MS","500270","CAMPO GRANDE","5672341","SESAU USF DR JOAO MIGUEL BASMAGE ESTRELA DALVA","0000440477","1801"
"MS","500270","CAMPO GRANDE","7108052","SESAU USF DR NELSON ASSEF BUAINAIN JARDIM ANTARTICA","0000440752","1497"
"MS","500270","CAMPO GRANDE","9013415","SESAU USF PEDRO FELIX DE SOUZA PARADISO","0001606727","1013"
"MS","500270","CAMPO GRANDE","0010332","SESAU USF SAO FRANCISCO","0000439460","2733"
"MS","500270","CAMPO GRANDE","6731198","SESAU USF DR FERNANDO DE ARRUDA TORRES JOSE TAVARES","0000440582","3092"
"MS","500270","CAMPO GRANDE","5506158","SESAU CF DR MAURO R BARROS WANDERLEY IRACY COELHO","0001482793","3226"
"MS","500525","LAGUNA CARAPÃ","2482541","UNIDADE DE SAUDE DA FAMILIA URBANA","0000443050","2325"
"MS","500540","MARACAJU","6784992","UBS ESF JOAO LEOPOLDO KOCH NETTO","0000443166","3308"
"MS","500540","MARACAJU","2470640","CENTRO DE ESPECIALIDADE E ESF OLIVIO FERREIRA DE LIMA","0000443077","1978"
"MS","500560","MIRANDA","7072600","ESF VITORIO VEDOVATO","0000443220","2548"
"MS","500568","MUNDO NOVO","7417705","ESF RURAL PEDRO RAMALHO","0001521314","869"
"MS","500570","NAVIRAÍ","3126013","ESF BOA VISTA","0000443298","3981"
"MS","500580","NIOAQUE","5058686","UNIDADE DE SAUDE DA FAMILIA PALMEIRA COLONIA NOVA MARIA OL","0000443433","527"
"MS","500620","NOVA ANDRADINA","2612054","ESF NOVA CASA VERDE","0000443565","4116"
"MS","500620","NOVA ANDRADINA","2612070","ESF VILA OPERARIA","0000443581","3427"
"MS","500627","PARAÍSO DAS ÁGUAS","7191561","ESF ARISTOTELES GARCIA VIDA","0000443662","665"
"MS","500630","PARANAÍBA","3050238","UNIDADE SAUDE DA FAMILIA SANTANA","0000443727","3394"
"MS","500630","PARANAÍBA","3050343","UNIDADE SAUDE DA FAMILIA DRA ANNA LYGIA M COELHO","0000443794","3868"
"MS","500635","PARANHOS","2710595","PROGRAMA SAUDE DA FAMILIA RURAL","0000443840","1479"
"MS","500640","PEDRO GOMES","2376970","UNIDADE SAUDE DA FAMILIA VILA MARCELINO","0000443875","2210"
"MS","500660","PONTA PORÃ","9387919","UNIDADE BASICA DA FAMILIA DRA NISLAINE COLMAN BENITES","0001638343","3675"
"MS","500660","PONTA PORÃ","2651572","UNIDADE BASICA DE SAUDE DA FAMILIA JARDIM VITORIA","0000443980","4680"
"MS","500660","PONTA PORÃ","2651556","UNIDADE BASICA DE SAUDE DA FAMILIA LAR GERALDO GARCIA","0000443956","2947"
"MS","500660","PONTA PORÃ","2651556","UNIDADE BASICA DE SAUDE DA FAMILIA LAR GERALDO GARCIA","0000443964","1862"
"MS","500660","PONTA PORÃ","3830497","UNIDADE BASICA DE SAUDE DA FAMILIA JARDIM ALEGRETE","0000443999","5267"
"MS","500660","PONTA PORÃ","9003479","UNIDADE BASICA DE SAUDE DA FAMILIA ZENEIDA TERRA DE SIQUEIRA","0001635360","2748"
"MS","500660","PONTA PORÃ","9003479","UNIDADE BASICA DE SAUDE DA FAMILIA ZENEIDA TERRA DE SIQUEIRA","0000443948","4042"
"MS","500720","RIO BRILHANTE","6727042","ESTRATEGIA SAUDE DA FAMILIA CELINA MARTINS JALAD XIV","0000444294","5801"
"MS","500720","RIO BRILHANTE","7323093","ESTRATEGIA SAUDE DA FAMILIA BRILHANTE","0001484737","2639"
"MS","500730","RIO NEGRO","2376903","UNIDADE SAUDE DA FAMILIA DE RIO NEGRO","0000444316","3987"
"MS","500740","RIO VERDE DE MATO GROSSO","2374412","UNIDADE SAUDE DA FAMILIA DA NOVA RIO VERDE","0000444332","1652"
"MS","500769","SÃO GABRIEL DO OESTE","2370980","UNIDADE DE SAUDE DA FAMILIA JARDIM GRAMADO I","0000444499","3286"
"MS","500770","SETE QUEDAS","2611996","PSF CENTRO","0000444596","1576"
"MS","500780","SELVÍRIA","2371111","UNIDADE BASICA DE SAUDE CELIO MOURA DA SILVA","0000444642","3930"
"MS","500790","SIDROLÂNDIA","3959198","PSF DO JARDIM CASCATINHA II","0000444774","3887"
"MS","500790","SIDROLÂNDIA","2370883","CENTRO DE SAUDE DE SIDROLANDIA","0000444715","3770"
"MS","500793","SONORA","7441126","UNIDADE DE SAUDE DA FAMILIA VISTA DO LAGO","0001519697","3128"
"MS","500830","TRÊS LAGOAS","6343864","ESTRATEGIA DE SAUDE DA FAMILIA JARDIM MARISTELA","0000445231","4183"
"MS","500830","TRÊS LAGOAS","2757117","ESTRATEGIA DE SAUDE DA FAMILIA SANTA RITA","0000445126","3024"
"MS","500830","TRÊS LAGOAS","2757141","ESTRATEGIA DE SAUDE DA FAMILIA VILA HARO","0001691406","1337"
"MS","500270","CAMPO GRANDE","9983406","SESAU USF DR EDGAR PEDRO RAUPP SPERB ARNALDO","0001698168","1138"
"MS","500270","CAMPO GRANDE","0028851","SESAU USF ALFREDO NEDER COOPHAVILA II","0000439991","1714"
"MS","500270","CAMPO GRANDE","0024457","SESAU USF DR ANTONIO PEREIRA TIRADENTES","0000439770","1731"
"MS","500830","TRÊS LAGOAS","9543333","UNIDADE BASICA DE SAUDE NOVA TRES LAGOAS","0000445045","4060"
"MS","500830","TRÊS LAGOAS","2757109","ESTRATEGIA DE SAUDE DA FAMILIA PARANAPUNGA","0001691708","756"
"MS","500270","CAMPO GRANDE","0028851","SESAU USF ALFREDO NEDER COOPHAVILA II","0001706535","148"
"MS","500270","CAMPO GRANDE","0028851","SESAU USF ALFREDO NEDER COOPHAVILA II","0001706543","519"
"MS","500270","CAMPO GRANDE","0028851","SESAU USF ALFREDO NEDER COOPHAVILA II","0000440019","1021"
"MS","500470","IVINHEMA","2371154","EACS DE IVINHEMA","0000442674","4406"
"MS","500270","CAMPO GRANDE","0010324","SESAU UBS DR WILLIAN MACKSOUD ESTRELA DO SUL","0000439436","2915"
"MS","500270","CAMPO GRANDE","0010251","SESAU UBS DR ALBERTO NEDER CAICARA","0001482734","683"
"MS","500370","DOURADOS","9837663","UBS DR LUIZ CARLOS SIEBERT","0001686224","127"
"MS","500370","DOURADOS","2711109","UNIDADE BASICA DE SAUDE BIANOR ALVES DA SILVA SELETA","0001713728","0"
"MS","500270","CAMPO GRANDE","0024465","SESAU UBS ENG ARTHUR HOKAMA DONA NETA GUANANDI","0000439827","2620"
"MS","500270","CAMPO GRANDE","0010227","SESAU UBS JAIR GARCIA DE FREITAS 26 DE AGOSTO","0000439215","498"
"MS","500270","CAMPO GRANDE","0024473","SESAU UBS BAIRRO CORONEL ANTONINO","0000439843","1456"
"MS","500560","MIRANDA","2376024","UNIDADE BASICA DE SAUDE DE MIRANDA","0001666940","588"
"MS","500830","TRÊS LAGOAS","9615946","UBS NOVO OESTE PASTOR MARCOS ROGERIO","0001684434","1341"
"MS","500830","TRÊS LAGOAS","2757133","ESTRATEGIA DE AGENTES COMUNITARIOS DE SAUDE VILA ALEGRE","0001629573","712"
"MS","500370","DOURADOS","2711109","UNIDADE BASICA DE SAUDE BIANOR ALVES DA SILVA SELETA","0001524283","3562"
"MS","500370","DOURADOS","2711168","UNIDADE BASICA DE SAUDE OTAVIA VITORINO SERRANTE","0000442046","2780"
"MS","500370","DOURADOS","2710862","UNIDADE BASICA DE SAUDE DR MOACIR STEIN ARRUDA","0000441724","2289"
"MS","500370","DOURADOS","2710986","UNIDADE BASICA DE SAUDE PANAMBI E SAO PEDRO","0000441805","1667"
"MS","500370","DOURADOS","3977927","UNIDADE BASICA DE SAUDE DR NELSON RODOLFO KOZOROSKI","0001623095","2813"
"MS","500380","FÁTIMA DO SUL","2599384","ESTRATEGIA SAUDE DA FAMILIA JARDIM TATIANE","0000442291","4527"
"MS","500380","FÁTIMA DO SUL","9236716","ESTRATEGIA SAUDE DA FAMILIA JARDIM DOS IPES","0001624202","2423"
"MS","500400","GLÓRIA DE DOURADOS","9035699","ESF NOVA GLORIA","0000442321","2162"
"MS","500430","IGUATEMI","2374331","PSF VILA ROSA","0000442402","4692"
"MS","500450","ITAPORÃ","2360993","ESF PIONEIRA ARLEI DO NASCIMENTO TEIXEIRA","0000442526","2891"
"MS","500460","ITAQUIRAÍ","2558653","UNIDADE DE SAUDE DA FAMILIA SUL BONITO","0000442607","686"
"MS","500460","ITAQUIRAÍ","2558637","UNIDADE DE SAUDE DA FAMILIA SANTA ROSA","0000442585","1157"
"MS","500460","ITAQUIRAÍ","2597187","UNIDADE DE SAUDE DA FAMILIA PRIMAVERA","0000442615","2578"
"MS","500470","IVINHEMA","2371200","ESF ITAPOA","0000442704","3534"
"MS","500480","JAPORÃ","6784658","EQUIPE SAUDE DA FAMILIA TAGROS","0000442771","787"
"MS","500500","JARDIM","2558696","PROGRAMA SAUDE FAMILIA DRA MARIA DE LOURDES DOS REIS","0000442852","3117"
"MS","500500","JARDIM","2376423","ESF RURAL DO BOQUEIRAO","0000442836","828"
"MS","500515","JUTI","2710684","UNIDADE DE SAUDE DE FAMILIA DE JUTI","0000442925","3292"
"MS","500520","LADÁRIO","3147320","UNIDADE BASICA DE SAUDE DR JOAO FERNANDES","0000442984","1422"
"MS","500520","LADÁRIO","2710749","UNIDADE BASICA DE SAUDE DR ROMEU ALBANEZE","0000442976","84"
"MS","500270","CAMPO GRANDE","0024422","SESAU USF DR ALBINO COIMBRA SANTA CARMELIA","0000439665","1909"
"MS","500270","CAMPO GRANDE","2752530","SESAU CF DRA MARCIA DE SA EARP NOVA LIMA","0000440027","2709"
"MS","500270","CAMPO GRANDE","0028827","SESAU CF MARIA DE LOURDES DOS SANTOS PORTAL CAIOBA","0000439924","4891"
"MS","500270","CAMPO GRANDE","3361837","SESAU USF SAO BENEDITO","0000440353","1609"
"MS","500270","CAMPO GRANDE","0024481","SESAU USF NOVA BAHIA","0000439851","2941"
"MS","500270","CAMPO GRANDE","9439919","SESAU USF VILA COX SANTA LUZIA","0001667866","1568"
"MS","500270","CAMPO GRANDE","3051374","SESAU USF DRA ALDA GUEDES GARCIA OLIVEIRA JARDIM AZALEIA","0000440140","2287"
"MS","500290","CASSILÂNDIA","2536277","UNIDADE BASICA DE SAUDE MARISTELA BERETTA","0000440892","2472"
"MS","500295","CHAPADÃO DO SUL","6955002","UNIDADE ESTRATEGIA DA SAUDE DA FAMILIA SIBIPIRUNA","0000440973","5895"
"MS","500315","CORONEL SAPUCAIA","2603454","UNIDADE DE SAUDE DA FAMILIA BENEDITO LAZARO FERNANDES","0000441023","4103"
"MS","500320","CORUMBÁ","7573170","UNIDADE BASICA DE SAUDE DR ENIO CUNHA II","0001547909","3378"
"MS","500320","CORUMBÁ","2558726","UNIDADE BASICA DE SAUDE POPULAR VELHA","0000441171","3794"
"MS","500330","COXIM","2752573","UNIDADE DE SAUDE DA FAMILIA SANTA MARIA","0000441481","2079"
"MS","500330","COXIM","3556204","UNIDADE DE SAUDE DA FAMILIA JORGE RITT","0000441511","1798"
"MS","500345","DEODÁPOLIS","6806570","ESTRATEGIA DE SAUDE DA FAMILIA SANTA MARIA","0000441554","2521"
"MS","500348","DOIS IRMÃOS DO BURITI","2591537","UNIDADE DE SAUDE DA FAMILIA DOIS IRMAOS DO BURITI","0000441619","2861"
"MS","500370","DOURADOS","2711052","UNIDADE BASICA DE SAUDE FREI HUGOLINO BECKER","0000441864","2345"
"MS","500060","AMAMBAI","3280136","UNIDADE DE SAUDE DA FAMILIA VILA GUAPECRISTINA","0000437735","3014"
"MS","500090","ANTÔNIO JOÃO","3553280","ESF TEOFILO TEIXEIRA DA ROSA","0000438049","2428"
"MS","500110","AQUIDAUANA","3240053","ESTRATEGIA DE SAUDE DA FAMILIA VILA TRINDADE","0000438235","2763"
"MS","500110","AQUIDAUANA","6315356","ESTRATEGIA DE SAUDE DA FAMILIA SAO PEDRO","0000438308","2596"
"MS","500110","AQUIDAUANA","2659662","UNIDADE DE SAUDE DA FAMILIA SANTA TEREZINHA","0000438197","3111"
"MS","500110","AQUIDAUANA","2360209","UNIDADE DE SAUDE DA FAMILIA ELCIRIA RITA BRANDES GARCIA","0000438154","1921"
"MS","500190","BATAGUASSU","2371030","UNIDADE DE SAUDE XV DE NOVEMBRO","0000438391","2529"
"MS","500210","BELA VISTA","6507050","ESF DR THYRSON LOUREIRO DE ALMEIDA","0000438626","2280"
"MS","500230","BRASILÂNDIA","2599368","UNIDADE SAUDE DA FAMILIA III","0000438707","730"
"MS","500240","CAARAPÓ","2376083","ESTRATEGIA DE SAUDE DA FAMILIA CIRILA MARECO","0000438774","4446"
"MS","500260","CAMAPUÃ","6375014","UNIDADE DE SAUDE DA FAMILIA III CENTRAL","0000438928","2286"
"MS","500270","CAMPO GRANDE","0010146","SESAU USF DR ADEMAR GUEDES DE SOUZA MATA DO JACINTO","0000438995","1549"
"MS","500270","CAMPO GRANDE","0010235","SESAU USF DR MILTON KOJO CHINEN VILA NASSER","0000439258","2348"
"MS","500270","CAMPO GRANDE","0010197","SESAU USF DR SUMIE IKEDA RODRIGUES SERRADINHO","0001573853","2045"
"MS","500270","CAMPO GRANDE","0010197","SESAU USF DR SUMIE IKEDA RODRIGUES SERRADINHO","0000439134","2596"
"MS","500270","CAMPO GRANDE","7108044","SESAU USF VILA CARVALHO","0000440744","2674"
"MS","500270","CAMPO GRANDE","0010413","SESAU USF DR SONI LYDIA SOUZA WOLF MACAUBAS","0000439541","1544"
"MS","500270","CAMPO GRANDE","3198278","SESAU USF PAULO COELHO MACHADO","0000440221","1611"
"MS","500270","CAMPO GRANDE","0021660","SESAU USF MANOEL CORDEIRO AGUAO","0001478400","578"
"MS","500270","CAMPO GRANDE","3285294","SESAU USF SEBASTIAO LUIZ NOGUEIRA LOS ANGELES","0000440264","3621"
"MS","500560","MIRANDA","9177272","ESF ARILDO BOSSAY","0001621742","2220"
"MS","500568","MUNDO NOVO","2374315","UNIDADE DE SAUDE DA FAMILIA I","0001521306","2404"
"MS","500570","NAVIRAÍ","7001878","ESF VILA NOVA","0000443360","4656"
"MS","500580","NIOAQUE","7099665","UNIDADE DE SAUDE DA FAMILIA NIOAQUE URBANO 2 ANTONIO CORONEL","0000443441","3276"
"MS","500600","NOVA ALVORADA DO SUL","6689299","UNIDADE BASICA DE SAUDE DA FAMILIA FRANCISCO XAVIER DA COSTA","0000443522","401"
"MS","500630","PARANAÍBA","3050319","UNIDADE SAUDE DA FAMILIA SANTO ANTONIO","0000443778","2758"
"MS","500690","PORTO MURTINHO","2376415","UNIDADE BASICA DE SAUDE DE PORTO MURTINHO","0000444138","3116"
"MS","500730","RIO NEGRO","3934306","UNIDADE DE SAUDE DA FAMILIA ZONA RURAL","0000444324","648"
"MS","500790","SIDROLÂNDIA","2591421","SAUDE LAR CAPAO BONITO I","0000444731","1426"
